恐怖电影院2,恐怖 / 惊悚,2017-10-20中国大陆上映 / 90分钟,慕青（殷果儿 饰）、张成（黄梓城 饰）、杜奇（刘小奇 饰）、瑟琳娜（闫薇儿 饰）和艾伦（宋嘉豪 饰）等一行八人前往一座坐落在荒郊野外的电影院看电影，虽然电影院的样子有些诡异，四周亦是荒无人烟，但同学们经不住于悦的游说，还是欣然前往。 实际上，于悦是这家电影院开发商的女儿，她策划了一场阴谋，所有来这里看电影的同学们都是她实现阴谋的鱼饵。原来，这座电影院刚好建造在了鬼门关上，自从动工以来就屡屡发生工人死亡的事件，如今，黑暗的阴影亦蔓延到了于悦的父亲身上。经过高人指点，于悦得知只要找来八具年轻的肉体，就能够镇住恶灵，父亲亦能获救。
命运之夜——天之杯3：春之歌,剧情 / 动画 / 奇幻,2020-03-28日本上映 / 120分钟,本片改编自TYPE-MOON出品的文字冒险类游戏《Fate/stay night》，是该游戏最终路线Heaven's Feel路线，简称“HF”或“樱线”是该系列作品动画剧场版全三部作品中的最终章。 在剧场版作品第二章黑化之后的樱吸收了众多Servant的灵魂后，被世间所有的恶控制，成为黑色圣杯的化身。她来到柳洞寺地下的大圣杯面前，召唤世间所有的恶的降临... 最终，得知一切的士郎放弃了成为正义的伙伴，选择了保护樱... 在两年之后的春天，留在卫宫家的樱和士郎、Rider还有凛四人一起相约去赏花…
哥斯拉2：怪兽之王,科幻 / 灾难 / 动作,2019-05-31中国大陆上映 / 132分钟,随着《哥斯拉》和《金刚：骷髅岛》在全球范围内的成功，华纳兄弟影片公司和传奇影业联手开启了怪兽宇宙系列电影的新篇章—一部史诗级动作冒险巨制。在这部电影中，哥斯拉将和众多大家在流行文化中所熟知的怪兽展开较量。全新故事中，研究神秘动物学的机构“帝王组织”成员将勇敢直面巨型怪兽，其中强大的哥斯拉也将和魔斯拉、拉顿和它的死对头——三头王基多拉展开激烈对抗。当这些只存在于传说里的超级生物再度崛起时，它们将展开王者争霸，人类的命运岌岌可危……
战狼2,动作 / 战争,2017-07-27中国大陆上映 / 123分钟,故事发生在非洲附近的大海上，主人公冷锋遭遇人生滑铁卢，被“开除军籍”，本想漂泊一生的他，正当他打算这么做的时候，一场突如其来的意外打破了他的计划，突然被卷入了一场非洲国家叛乱，本可以安全撤离，却因无法忘记曾经为军人的使命，孤身犯险冲回沦陷区，带领身陷屠杀中的同胞和难民，展开生死逃亡。随着斗争的持续，体内的狼性逐渐复苏，最终孤身闯入战乱区域，为同胞而战斗。
火箭少女101飞行演唱会*广州站,歌舞,2019-03-30中国大陆上映 / 140分钟,"火箭少女101是通过腾讯视频组合青春成长节目《创造101》出道的国内女子偶像团体，出道以来一直以音乐领域为发展核心，专注于音乐作品及舞台。成团EP《撞》在音乐发行平台数字专辑畅销榜取得了优异成绩。通过半年的多样性运营规划和多平台资源的支持及高品质的作品产出，火箭少女101用踏踏实实的成绩获得了粉丝认可和业内肯定，具备了广泛的影响力，填补了新时代女团的行业空白。 本次巡演""2019火箭少女101飞行演唱会""，将作为验证她们出道以来实力和成长的最 佳舞台。本次演唱会，火箭少女101还将以全新的演绎方式、新鲜的舞台形式、多变的表演风格回馈创始人及歌迷们的一路热爱与支持，呈现一场兼具视听效果的演出。"
唐人街探案2,喜剧 / 动作 / 悬疑,2018-02-16中国大陆上映 / 120分钟,秦风接到唐仁的邀请来纽约参加其与阿香的婚礼。壕气逼人的唐仁迎接秦风，极尽招摇。岂料“婚礼”是唐仁为巨额奖金而参加的世界名侦大赛，比赛的内容是寻找杀害唐人街教父七叔的孙子的凶手。 受骗的秦风怒极欲走，却被纽约华人刑警陈英送来的讯息所吸引。七叔孙子的死法离奇，寻人上升为悬赏缉凶。“名侦探”们各显“其能”，鸡飞狗跳。众人调查的同时另一起案件发生，作案手法极其相似。原本锁定的凶手竟有了不在场证明，秦风不禁对自己的推理产生了怀疑。第三起案件发生连环案件。秦风、唐仁二人再次披挂，摆脱各路纠缠，闹翻纽约，几欲接近真相。第四起，与凶手失之交臂，诡计呼之欲出。真凶伏法，动机令人不寒而栗。看似完美结案的背后却隐藏着另一个发人深省的谜题 。
哪吒之魔童降世,动画 / 喜剧 / 奇幻,2019-07-26中国大陆上映 / 110分钟,天地灵气孕育出一颗能量巨大的混元珠，元始天尊将混元珠提炼成灵珠和魔丸，灵珠投胎为人，助周伐纣时可堪大用；而魔丸则会诞出魔王，为祸人间。元始天尊启动了天劫咒语，3年后天雷将会降临，摧毁魔丸。太乙受命将灵珠托生于陈塘关李靖家的儿子哪吒身上。然而阴差阳错，灵珠和魔丸竟然被掉包。本应是灵珠英雄的哪吒却成了混世大魔王。调皮捣蛋顽劣不堪的哪吒却徒有一颗做英雄的心。然而面对众人对魔丸的误解和即将来临的天雷的降临，哪吒是否命中注定会立地成魔？他将何去何从？
少年的你,爱情 / 青春 / 剧情,2019-10-25中国大陆上映 / 135分钟,一场高考前夕的校园意外，改变了两个少年的命运。 陈念（周冬雨 饰）性格内向，是学校里的优等生，努力复习、考上好大学是高三的她唯一的念头。同班同学的意外坠楼牵扯出一连串不为人知的故事，陈念也被一点点卷入其中……在她最孤独的时刻，一个叫“小北”（易烊千玺 饰）的少年闯入了她的世界……大多数人的18岁都是明媚、快乐的，而他们却在18岁这个夏天提前尝到了成人世界的漠然。一场秘而不宣的“战斗”正在上演，他们将一起守护少年的尊严。
误杀,剧情 / 犯罪,2019-12-13中国大陆上映 / 112分钟,李维杰（肖央 饰）与妻子阿玉（谭卓 饰）打拼多年，膝下育有两个女儿。一个雨夜，一场意外，打破了这个家庭的宁静。而李维杰作为一个父亲，为了保全自己的家人，他不顾一切地决定瞒天过海……
天气之子,爱情 / 动画 / 奇幻,2019-11-01中国大陆上映 / 113分钟,在高一的夏天，少年帆高（醍醐虎汰朗 配音）离家出走，一个人来到东京。帆高好不容易找到一份工作，为一本古怪的“神秘学杂志”写稿，生活孤单贫苦。连日的滂沱大雨，像是来映衬他的失落。在纷纭杂沓的大都会一角，帆高遇上了一个可爱少女阳菜（森七菜 配音）。阳菜和弟弟相依为命，个性坚强、开朗，但她心中隐藏着一个重大秘密──每当她说：“现在开始天晴了！”雨便渐渐停下来，美丽的阳光洒落街上。原来，她拥有一股不可思议的能量，一股能让天空放晴的异力……
